# METADATA:
# 000EW: Paris 20Ãšme - Porte de Vincennes
# Source: www.infoclimat.fr
# Licence Ouverte/Open License: http://wiki.data.gouv.fr/images/9/9d/Licence_Ouverte.pdf
station_id;dh_utc;temperature;pression;humidite;point_de_rosee;vent_moyen;vent_rafales;vent_direction;pluie_3h;pluie_1h
station_id;dh_utc;degC;hPa;%;degC;km/h;km/h;deg;mm;mm
000EW;2026-06-14 21:20:00;20.3;1016.8;53;10.4;7.2;;0;;
000EW;2026-06-14 21:30:00;20;1016.9;54;10.4;9.7;;0;;
000EW;2026-06-14 21:40:00;19.8;1016.9;54;10.2;7.2;;349;;
000EW;2026-06-14 21:50:00;19.6;1016.9;55;10.3;7.2;;0;;
000EW;2026-06-14 22:00:00;19.5;1016.9;55;10.2;5.6;;0;0;0
000EW;2026-06-14 22:10:00;19.4;1016.9;55;10.1;5.6;;0;;
000EW;2026-06-14 22:20:00;19.3;1017;56;10.3;4.8;;0;;
000EW;2026-06-14 22:30:00;19.1;1017;56;10.1;7.2;;0;;
000EW;2026-06-14 22:40:00;18.9;1016.9;57;10.2;7.2;;0;;
000EW;2026-06-14 22:50:00;18.8;1016.9;58;10.4;5.6;;0;;
000EW;2026-06-14 23:00:00;18.6;1016.9;59;10.4;4.8;;0;0;0
000EW;2026-06-14 23:10:00;18.4;1016.9;59;10.3;4.8;;0;;
000EW;2026-06-14 23:20:00;18.3;1016.9;60;10.4;4;;349;;
000EW;2026-06-14 23:30:00;18.2;1016.8;61;10.5;4.8;;0;;
000EW;2026-06-14 23:40:00;18.1;1016.8;61;10.4;4;;0;;
000EW;2026-06-14 23:50:00;17.9;1016.9;62;10.6;4.8;;45;;
000EW;2026-06-15 00:00:00;17.8;1016.8;62;10.4;4.8;;23;0;0
000EW;2026-06-15 00:10:00;17.5;1016.7;63;10.4;5.6;;23;;
000EW;2026-06-15 00:20:00;17.3;1016.7;64;10.5;6.4;;45;;
000EW;2026-06-15 00:30:00;17.1;1016.7;65;10.5;4.8;;11;;
000EW;2026-06-15 00:40:00;16.9;1016.7;66;10.5;6.4;;34;;
000EW;2026-06-15 00:50:00;16.8;1016.6;67;10.6;5.6;;34;;
000EW;2026-06-15 01:00:00;16.7;1016.5;67;10.6;4.8;;11;0;0
000EW;2026-06-15 01:10:00;16.7;1016.4;66;10.3;4;;23;;
000EW;2026-06-15 01:20:00;16.6;1016.5;66;10.2;4;;11;;
000EW;2026-06-15 01:30:00;16.5;1016.4;67;10.3;4;;23;;
000EW;2026-06-15 01:40:00;16.4;1016.4;67;10.3;4.8;;11;;
000EW;2026-06-15 01:50:00;16.4;1016.4;66;10;4.8;;0;;
000EW;2026-06-15 02:00:00;16.3;1016.3;66;10;4;;349;0;0
000EW;2026-06-15 02:10:00;16.2;1016.3;66;9.9;4;;23;;
000EW;2026-06-15 02:20:00;16.2;1016.2;67;10;4;;0;;
000EW;2026-06-15 02:30:00;16.1;1016.2;67;9.9;4;;23;;
000EW;2026-06-15 02:40:00;16.1;1016.2;67;9.9;2.4;;315;;
000EW;2026-06-15 02:50:00;15.9;1016.2;67;9.8;2.4;;315;;
000EW;2026-06-15 03:00:00;15.8;1016.1;68;9.9;2.4;;90;0;0
000EW;2026-06-15 03:10:00;15.7;1016.2;69;10;2.4;;326;;
000EW;2026-06-15 03:20:00;15.6;1016.1;69;9.9;4.8;;338;;
000EW;2026-06-15 03:30:00;15.5;1016.2;70;10;3.2;;56;;
000EW;2026-06-15 03:40:00;15.4;1016.2;70;10;4;;11;;
000EW;2026-06-15 03:50:00;15.4;1016.2;70;9.9;3.2;;349;;
